       TIME	  CAN_ID	CAN_DATA                                	  1	  2	   3	   4
1.58187e+09	     101	[204, 255, 254, 255, 13, 0, 189, 255]   	-52	 -2	  13	 -67
1.58187e+09	     100	[19, 0, 247, 255, 148, 255, 9, 0]       	 19	 -9	-108	   9
1.58187e+09	     101	[210, 255, 248, 255, 10, 0, 181, 255]   	-46	 -8	  10	 -75
1.58187e+09	     100	[18, 0, 239, 255, 139, 255, 13, 0]      	 18	-17	-117	  13
1.58187e+09	     101	[215, 255, 244, 255, 5, 0, 172, 255]    	-41	-12	   5	 -84
1.58187e+09	     100	[14, 0, 238, 255, 129, 255, 21, 0]      	 14	-18	-127	  21
1.58187e+09	     101	[221, 255, 243, 255, 2, 0, 165, 255]    	-35	-13	   2	 -91
1.58187e+09	     100	[14, 0, 240, 255, 123, 255, 27, 0]      	 14	-16	-133	  27
1.58187e+09	     101	[223, 255, 246, 255, 3, 0, 167, 255]    	-33	-10	   3	 -89
1.58187e+09	     100	[13, 0, 250, 255, 123, 255, 32, 0]      	 13	 -6	-133	  32
1.58187e+09	     101	[225, 255, 250, 255, 6, 0, 172, 255]    	-31	 -6	   6	 -84
1.58187e+09	     100	[14, 0, 5, 0, 131, 255, 35, 0]          	 14	  5	-125	  35
1.58187e+09	     101	[227, 255, 2, 0, 14, 0, 184, 255]       	-29	  2	  14	 -72
1.58187e+09	     100	[17, 0, 16, 0, 146, 255, 35, 0]         	 17	 16	-110	  35
1.58187e+09	     101	[230, 255, 12, 0, 19, 0, 198, 255]      	-26	 12	  19	 -58
1.58187e+09	     100	[23, 0, 24, 0, 160, 255, 32, 0]         	 23	 24	 -96	  32
1.58187e+09	     101	[233, 255, 21, 0, 27, 0, 213, 255]      	-23	 21	  27	 -43
1.58187e+09	     100	[27, 0, 29, 0, 173, 255, 31, 0]         	 27	 29	 -83	  31
1.58187e+09	     101	[231, 255, 29, 0, 30, 0, 227, 255]      	-25	 29	  30	 -29
1.58187e+09	     100	[33, 0, 29, 0, 181, 255, 28, 0]         	 33	 29	 -75	  28
1.58187e+09	     101	[230, 255, 33, 0, 31, 0, 237, 255]      	-26	 33	  31	 -19
1.58187e+09	     100	[38, 0, 30, 0, 183, 255, 28, 0]         	 38	 30	 -73	  28
1.58187e+09	     101	[230, 255, 33, 0, 31, 0, 241, 255]      	-26	 33	  31	 -15
1.58187e+09	     100	[43, 0, 30, 0, 179, 255, 31, 0]         	 43	 30	 -77	  31
1.58187e+09	     101	[226, 255, 25, 0, 33, 0, 241, 255]      	-30	 25	  33	 -15
1.58187e+09	     100	[47, 0, 32, 0, 176, 255, 34, 0]         	 47	 32	 -80	  34
1.58187e+09	     101	[225, 255, 16, 0, 33, 0, 235, 255]      	-31	 16	  33	 -21
1.58187e+09	     100	[53, 0, 33, 0, 169, 255, 40, 0]         	 53	 33	 -87	  40
1.58187e+09	     101	[221, 255, 6, 0, 35, 0, 227, 255]       	-35	  6	  35	 -29
1.58187e+09	     100	[55, 0, 34, 0, 166, 255, 44, 0]         	 55	 34	 -90	  44
1.58187e+09	     101	[221, 255, 254, 255, 37, 0, 220, 255]   	-35	 -2	  37	 -36
1.58187e+09	     100	[58, 0, 32, 0, 164, 255, 47, 0]         	 58	 32	 -92	  47
1.58187e+09	     101	[219, 255, 246, 255, 41, 0, 212, 255]   	-37	-10	  41	 -44
1.58187e+09	     100	[61, 0, 26, 0, 164, 255, 50, 0]         	 61	 26	 -92	  50
1.58187e+09	     101	[222, 255, 242, 255, 42, 0, 204, 255]   	-34	-14	  42	 -52
1.58187e+09	     100	[58, 0, 18, 0, 166, 255, 52, 0]         	 58	 18	 -90	  52
1.58187e+09	     101	[221, 255, 239, 255, 39, 0, 201, 255]   	-35	-17	  39	 -55
1.58187e+09	     100	[53, 0, 10, 0, 169, 255, 48, 0]         	 53	 10	 -87	  48
1.58187e+09	     101	[221, 255, 243, 255, 37, 0, 197, 255]   	-35	-13	  37	 -59
1.58187e+09	     100	[46, 0, 2, 0, 166, 255, 47, 0]          	 46	  2	 -90	  47
1.58187e+09	     101	[218, 255, 244, 255, 31, 0, 196, 255]   	-38	-12	  31	 -60
1.58187e+09	     100	[37, 0, 255, 255, 161, 255, 40, 0]      	 37	 -1	 -95	  40
1.58187e+09	     101	[214, 255, 244, 255, 22, 0, 196, 255]   	-42	-12	  22	 -60
1.58187e+09	     100	[27, 0, 0, 0, 155, 255, 32, 0]          	 27	  0	-101	  32
1.58187e+09	     101	[206, 255, 240, 255, 15, 0, 198, 255]   	-50	-16	  15	 -58
1.58187e+09	     100	[18, 0, 1, 0, 146, 255, 23, 0]          	 18	  1	-110	  23
1.58187e+09	     101	[204, 255, 242, 255, 13, 0, 202, 255]   	-52	-14	  13	 -54
1.58187e+09	     100	[9, 0, 9, 0, 140, 255, 18, 0]           	  9	  9	-116	  18
1.58187e+09	     101	[201, 255, 239, 255, 10, 0, 206, 255]   	-55	-17	  10	 -50
1.58187e+09	     100	[3, 0, 16, 0, 136, 255, 18, 0]          	  3	 16	-120	  18
1.58187e+09	     101	[202, 255, 236, 255, 11, 0, 210, 255]   	-54	-20	  11	 -46
1.58187e+09	     100	[1, 0, 24, 0, 136, 255, 22, 0]          	  1	 24	-120	  22
1.58187e+09	     101	[205, 255, 239, 255, 14, 0, 216, 255]   	-51	-17	  14	 -40
1.58187e+09	     100	[1, 0, 26, 0, 142, 255, 31, 0]          	  1	 26	-114	  31
1.58187e+09	     101	[210, 255, 246, 255, 21, 0, 221, 255]   	-46	-10	  21	 -35
1.58187e+09	     100	[3, 0, 26, 0, 149, 255, 42, 0]          	  3	 26	-107	  42
1.58187e+09	     101	[215, 255, 254, 255, 26, 0, 225, 255]   	-41	 -2	  26	 -31
1.58187e+09	     100	[9, 0, 25, 0, 157, 255, 50, 0]          	  9	 25	 -99	  50
1.58187e+09	     101	[219, 255, 4, 0, 29, 0, 227, 255]       	-37	  4	  29	 -29
1.58187e+09	     100	[13, 0, 21, 0, 169, 255, 53, 0]         	 13	 21	 -87	  53
1.58187e+09	     101	[221, 255, 13, 0, 27, 0, 230, 255]      	-35	 13	  27	 -26
1.58187e+09	     100	[19, 0, 14, 0, 177, 255, 51, 0]         	 19	 14	 -79	  51
1.58187e+09	     101	[219, 255, 18, 0, 27, 0, 227, 255]      	-37	 18	  27	 -29
1.58187e+09	     100	[22, 0, 9, 0, 186, 255, 44, 0]          	 22	  9	 -70	  44
1.58187e+09	     101	[217, 255, 21, 0, 26, 0, 231, 255]      	-39	 21	  26	 -25
1.58187e+09	     100	[23, 0, 6, 0, 191, 255, 35, 0]          	 23	  6	 -65	  35
1.58187e+09	     101	[215, 255, 24, 0, 27, 0, 229, 255]      	-41	 24	  27	 -27
1.58187e+09	     100	[22, 0, 9, 0, 195, 255, 28, 0]          	 22	  9	 -61	  28
1.58187e+09	     101	[217, 255, 24, 0, 30, 0, 226, 255]      	-39	 24	  30	 -30
1.58187e+09	     100	[21, 0, 16, 0, 196, 255, 26, 0]         	 21	 16	 -60	  26
1.58187e+09	     101	[218, 255, 21, 0, 34, 0, 225, 255]      	-38	 21	  34	 -31
1.58187e+09	     100	[14, 0, 25, 0, 194, 255, 25, 0]         	 14	 25	 -62	  25
1.58187e+09	     101	[222, 255, 20, 0, 38, 0, 220, 255]      	-34	 20	  38	 -36
1.58187e+09	     100	[9, 0, 33, 0, 187, 255, 26, 0]          	  9	 33	 -69	  26
1.58187e+09	     101	[222, 255, 14, 0, 39, 0, 216, 255]      	-34	 14	  39	 -40
1.58187e+09	     100	[7, 0, 34, 0, 179, 255, 26, 0]          	  7	 34	 -77	  26
1.58187e+09	     101	[219, 255, 14, 0, 39, 0, 210, 255]      	-37	 14	  39	 -46
1.58187e+09	     100	[5, 0, 32, 0, 168, 255, 26, 0]          	  5	 32	 -88	  26
1.58187e+09	     101	[218, 255, 10, 0, 35, 0, 204, 255]      	-38	 10	  35	 -52
1.58187e+09	     100	[5, 0, 25, 0, 156, 255, 19, 0]          	  5	 25	-100	  19
1.58187e+09	     101	[213, 255, 10, 0, 27, 0, 193, 255]      	-43	 10	  27	 -63
1.58187e+09	     100	[6, 0, 10, 0, 147, 255, 10, 0]          	  6	 10	-109	  10
1.58187e+09	     101	[207, 255, 9, 0, 19, 0, 188, 255]       	-49	  9	  19	 -68
1.58187e+09	     100	[5, 0, 255, 255, 136, 255, 2, 0]        	  5	 -1	-120	   2
1.58187e+09	     101	[205, 255, 8, 0, 13, 0, 185, 255]       	-51	  8	  13	 -71
1.58187e+09	     100	[7, 0, 250, 255, 132, 255, 251, 255]    	  7	 -6	-124	  -5
1.58187e+09	     101	[204, 255, 8, 0, 7, 0, 181, 255]        	-52	  8	   7	 -75
1.58187e+09	     100	[9, 0, 250, 255, 134, 255, 250, 255]    	  9	 -6	-122	  -6
1.58187e+09	     101	[205, 255, 8, 0, 9, 0, 185, 255]        	-51	  8	   9	 -71
1.58187e+09	     100	[10, 0, 1, 0, 138, 255, 254, 255]       	 10	  1	-118	  -2
1.58187e+09	     101	[209, 255, 6, 0, 14, 0, 192, 255]       	-47	  6	  14	 -64
1.58187e+09	     100	[11, 0, 16, 0, 148, 255, 3, 0]          	 11	 16	-108	   3
1.58187e+09	     101	[214, 255, 8, 0, 23, 0, 196, 255]       	-42	  8	  23	 -60
1.58187e+09	     100	[15, 0, 32, 0, 160, 255, 17, 0]         	 15	 32	 -96	  17
1.58187e+09	     101	[217, 255, 6, 0, 34, 0, 202, 255]       	-39	  6	  34	 -54
1.58187e+09	     100	[21, 0, 44, 0, 170, 255, 23, 0]         	 21	 44	 -86	  23
1.58187e+09	     101	[219, 255, 2, 0, 45, 0, 209, 255]       	-37	  2	  45	 -47
1.58187e+09	     100	[25, 0, 49, 0, 176, 255, 30, 0]         	 25	 49	 -80	  30
1.58187e+09	     101	[219, 255, 2, 0, 51, 0, 212, 255]       	-37	  2	  51	 -44
1.58187e+09	     100	[30, 0, 46, 0, 176, 255, 31, 0]         	 30	 46	 -80	  31
1.58187e+09	     101	[218, 255, 252, 255, 57, 0, 217, 255]   	-38	 -4	  57	 -39
1.58187e+09	     100	[35, 0, 41, 0, 172, 255, 30, 0]         	 35	 41	 -84	  30
1.58187e+09	     101	[215, 255, 248, 255, 61, 0, 216, 255]   	-41	 -8	  61	 -40
1.58187e+09	     100	[37, 0, 28, 0, 162, 255, 27, 0]         	 37	 28	 -94	  27
1.58187e+09	     101	[215, 255, 243, 255, 57, 0, 218, 255]   	-41	-13	  57	 -38
1.58187e+09	     100	[37, 0, 20, 0, 153, 255, 22, 0]         	 37	 20	-103	  22
1.58187e+09	     101	[211, 255, 243, 255, 51, 0, 217, 255]   	-45	-13	  51	 -39
1.58187e+09	     100	[35, 0, 16, 0, 144, 255, 21, 0]         	 35	 16	-112	  21
1.58187e+09	     101	[210, 255, 242, 255, 50, 0, 217, 255]   	-46	-14	  50	 -39
1.58187e+09	     100	[31, 0, 16, 0, 139, 255, 21, 0]         	 31	 16	-117	  21
1.58187e+09	     101	[207, 255, 248, 255, 46, 0, 218, 255]   	-49	 -8	  46	 -38
1.58187e+09	     100	[26, 0, 17, 0, 138, 255, 21, 0]         	 26	 17	-118	  21
1.58187e+09	     101	[207, 255, 254, 255, 47, 0, 218, 255]   	-49	 -2	  47	 -38
1.58187e+09	     100	[25, 0, 20, 0, 140, 255, 22, 0]         	 25	 20	-116	  22
1.58187e+09	     101	[209, 255, 5, 0, 49, 0, 222, 255]       	-47	  5	  49	 -34
1.58187e+09	     100	[23, 0, 20, 0, 144, 255, 23, 0]         	 23	 20	-112	  23
1.58187e+09	     101	[211, 255, 10, 0, 50, 0, 222, 255]      	-45	 10	  50	 -34
1.58187e+09	     100	[27, 0, 17, 0, 152, 255, 22, 0]         	 27	 17	-104	  22
1.58187e+09	     101	[215, 255, 13, 0, 50, 0, 217, 255]      	-41	 13	  50	 -39
1.58187e+09	     100	[31, 0, 8, 0, 159, 255, 19, 0]          	 31	  8	 -97	  19
1.58187e+09	     101	[222, 255, 12, 0, 46, 0, 209, 255]      	-34	 12	  46	 -47
1.58187e+09	     100	[39, 0, 1, 0, 164, 255, 14, 0]          	 39	  1	 -92	  14
1.58187e+09	     101	[225, 255, 8, 0, 41, 0, 198, 255]       	-31	  8	  41	 -58
1.58187e+09	     100	[43, 0, 251, 255, 170, 255, 6, 0]       	 43	 -5	 -86	   6
1.58187e+09	     101	[227, 255, 1, 0, 31, 0, 187, 255]       	-29	  1	  31	 -69
1.58187e+09	     100	[46, 0, 251, 255, 174, 255, 255, 255]   	 46	 -5	 -82	  -1
1.58187e+09	     101	[233, 255, 251, 255, 22, 0, 177, 255]   	-23	 -5	  22	 -79
1.58187e+09	     100	[46, 0, 2, 0, 177, 255, 251, 255]       	 46	  2	 -79	  -5
1.58187e+09	     101	[234, 255, 247, 255, 18, 0, 176, 255]   	-22	 -9	  18	 -80
