       TIME	  CAN_ID	CAN_DATA                             	  1	  2	  3	  4
1.58187e+09	     100	[13, 0, 248, 255, 7, 0, 23, 0]       	 13	 -8	  7	 23
1.58187e+09	     101	[6, 0, 8, 0, 246, 255, 14, 0]        	  6	  8	-10	 14
1.58187e+09	     100	[14, 0, 250, 255, 7, 0, 18, 0]       	 14	 -6	  7	 18
1.58187e+09	     101	[7, 0, 14, 0, 245, 255, 15, 0]       	  7	 14	-11	 15
1.58187e+09	     100	[19, 0, 251, 255, 5, 0, 13, 0]       	 19	 -5	  5	 13
1.58187e+09	     101	[5, 0, 16, 0, 245, 255, 10, 0]       	  5	 16	-11	 10
1.58187e+09	     100	[15, 0, 251, 255, 7, 0, 10, 0]       	 15	 -5	  7	 10
1.58187e+09	     101	[11, 0, 14, 0, 239, 255, 9, 0]       	 11	 14	-17	  9
1.58187e+09	     100	[17, 0, 5, 0, 9, 0, 9, 0]            	 17	  5	  9	  9
1.58187e+09	     101	[9, 0, 14, 0, 246, 255, 13, 0]       	  9	 14	-10	 13
1.58187e+09	     100	[10, 0, 8, 0, 3, 0, 14, 0]           	 10	  8	  3	 14
1.58187e+09	     101	[10, 0, 14, 0, 247, 255, 21, 0]      	 10	 14	 -9	 21
1.58187e+09	     100	[15, 0, 5, 0, 5, 0, 17, 0]           	 15	  5	  5	 17
1.58187e+09	     101	[10, 0, 14, 0, 247, 255, 15, 0]      	 10	 14	 -9	 15
1.58187e+09	     100	[21, 0, 1, 0, 254, 255, 14, 0]       	 21	  1	 -2	 14
1.58187e+09	     101	[10, 0, 17, 0, 242, 255, 14, 0]      	 10	 17	-14	 14
1.58187e+09	     100	[22, 0, 6, 0, 255, 255, 15, 0]       	 22	  6	 -1	 15
1.58187e+09	     101	[13, 0, 21, 0, 245, 255, 17, 0]      	 13	 21	-11	 17
1.58187e+09	     100	[15, 0, 12, 0, 254, 255, 11, 0]      	 15	 12	 -2	 11
1.58187e+09	     101	[11, 0, 12, 0, 239, 255, 17, 0]      	 11	 12	-17	 17
1.58187e+09	     100	[14, 0, 6, 0, 249, 255, 15, 0]       	 14	  6	 -7	 15
1.58187e+09	     101	[13, 0, 8, 0, 250, 255, 17, 0]       	 13	  8	 -6	 17
1.58187e+09	     100	[21, 0, 13, 0, 254, 255, 10, 0]      	 21	 13	 -2	 10
1.58187e+09	     101	[9, 0, 6, 0, 255, 255, 27, 0]        	  9	  6	 -1	 27
1.58187e+09	     100	[13, 0, 9, 0, 253, 255, 9, 0]        	 13	  9	 -3	  9
1.58187e+09	     101	[7, 0, 246, 255, 2, 0, 17, 0]        	  7	-10	  2	 17
1.58187e+09	     100	[10, 0, 14, 0, 251, 255, 1, 0]       	 10	 14	 -5	  1
1.58187e+09	     101	[5, 0, 236, 255, 253, 255, 19, 0]    	  5	-20	 -3	 19
1.58187e+09	     100	[7, 0, 13, 0, 253, 255, 2, 0]        	  7	 13	 -3	  2
1.58187e+09	     101	[11, 0, 235, 255, 255, 255, 11, 0]   	 11	-21	 -1	 11
1.58187e+09	     100	[10, 0, 17, 0, 245, 255, 5, 0]       	 10	 17	-11	  5
1.58187e+09	     101	[5, 0, 246, 255, 255, 255, 11, 0]    	  5	-10	 -1	 11
1.58187e+09	     100	[7, 0, 14, 0, 255, 255, 6, 0]        	  7	 14	 -1	  6
1.58187e+09	     101	[5, 0, 5, 0, 255, 255, 15, 0]        	  5	  5	 -1	 15
1.58187e+09	     100	[11, 0, 8, 0, 253, 255, 6, 0]        	 11	  8	 -3	  6
1.58187e+09	     101	[2, 0, 6, 0, 1, 0, 10, 0]            	  2	  6	  1	 10
1.58187e+09	     100	[17, 0, 8, 0, 253, 255, 6, 0]        	 17	  8	 -3	  6
1.58187e+09	     101	[10, 0, 14, 0, 0, 0, 15, 0]          	 10	 14	  0	 15
1.58187e+09	     100	[9, 0, 255, 255, 247, 255, 1, 0]     	  9	 -1	 -9	  1
1.58187e+09	     101	[9, 0, 252, 255, 253, 255, 10, 0]    	  9	 -4	 -3	 10
1.58187e+09	     100	[11, 0, 255, 255, 247, 255, 255, 255]	 11	 -1	 -9	 -1
1.58187e+09	     101	[9, 0, 251, 255, 255, 255, 6, 0]     	  9	 -5	 -1	  6
1.58187e+09	     100	[9, 0, 6, 0, 241, 255, 251, 255]     	  9	  6	-15	 -5
1.58187e+09	     101	[15, 0, 244, 255, 253, 255, 9, 0]    	 15	-12	 -3	  9
1.58187e+09	     100	[3, 0, 6, 0, 247, 255, 10, 0]        	  3	  6	 -9	 10
1.58187e+09	     101	[17, 0, 8, 0, 251, 255, 22, 0]       	 17	  8	 -5	 22
1.58187e+09	     100	[2, 0, 6, 0, 253, 255, 7, 0]         	  2	  6	 -3	  7
1.58187e+09	     101	[18, 0, 14, 0, 251, 255, 19, 0]      	 18	 14	 -5	 19
1.58187e+09	     100	[5, 0, 6, 0, 5, 0, 0, 0]             	  5	  6	  5	  0
1.58187e+09	     101	[19, 0, 8, 0, 251, 255, 13, 0]       	 19	  8	 -5	 13
1.58187e+09	     100	[7, 0, 2, 0, 7, 0, 5, 0]             	  7	  2	  7	  5
1.58187e+09	     101	[15, 0, 17, 0, 255, 255, 13, 0]      	 15	 17	 -1	 13
1.58187e+09	     100	[6, 0, 1, 0, 2, 0, 3, 0]             	  6	  1	  2	  3
1.58187e+09	     101	[21, 0, 17, 0, 0, 0, 14, 0]          	 21	 17	  0	 14
1.58187e+09	     100	[5, 0, 255, 255, 253, 255, 247, 255] 	  5	 -1	 -3	 -9
1.58187e+09	     101	[19, 0, 6, 0, 2, 0, 13, 0]           	 19	  6	  2	 13
1.58187e+09	     100	[6, 0, 251, 255, 247, 255, 239, 255] 	  6	 -5	 -9	-17
1.58187e+09	     101	[22, 0, 6, 0, 0, 0, 6, 0]            	 22	  6	  0	  6
1.58187e+09	     100	[3, 0, 251, 255, 249, 255, 238, 255] 	  3	 -5	 -7	-18
1.58187e+09	     101	[19, 0, 8, 0, 250, 255, 9, 0]        	 19	  8	 -6	  9
1.58187e+09	     100	[5, 0, 255, 255, 250, 255, 243, 255] 	  5	 -1	 -6	-13
1.58187e+09	     101	[19, 0, 8, 0, 250, 255, 7, 0]        	 19	  8	 -6	  7
1.58187e+09	     100	[15, 0, 254, 255, 245, 255, 235, 255]	 15	 -2	-11	-21
1.58187e+09	     101	[21, 0, 9, 0, 251, 255, 7, 0]        	 21	  9	 -5	  7
1.58187e+09	     100	[13, 0, 2, 0, 250, 255, 249, 255]    	 13	  2	 -6	 -7
1.58187e+09	     101	[17, 0, 21, 0, 254, 255, 18, 0]      	 17	 21	 -2	 18
1.58187e+09	     100	[15, 0, 251, 255, 246, 255, 245, 255]	 15	 -5	-10	-11
1.58187e+09	     101	[14, 0, 10, 0, 254, 255, 6, 0]       	 14	 10	 -2	  6
1.58187e+09	     100	[9, 0, 252, 255, 245, 255, 245, 255] 	  9	 -4	-11	-11
1.58187e+09	     101	[10, 0, 12, 0, 254, 255, 3, 0]       	 10	 12	 -2	  3
1.58187e+09	     100	[7, 0, 250, 255, 245, 255, 246, 255] 	  7	 -6	-11	-10
1.58187e+09	     101	[13, 0, 29, 0, 255, 255, 9, 0]       	 13	 29	 -1	  9
1.58187e+09	     100	[11, 0, 254, 255, 247, 255, 250, 255]	 11	 -2	 -9	 -6
1.58187e+09	     101	[15, 0, 21, 0, 247, 255, 10, 0]      	 15	 21	 -9	 10
1.58187e+09	     100	[18, 0, 1, 0, 251, 255, 246, 255]    	 18	  1	 -5	-10
1.58187e+09	     101	[15, 0, 9, 0, 251, 255, 9, 0]        	 15	  9	 -5	  9
